folder,filename,filepath,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds,P1/MAX-max nodes,P1/MAX-max cutoffs,P1/MAX-max avgCutIdx,P1/MAX-max firstChildCut,P1/MAX-min nodes,P1/MAX-min cutoffs,P1/MAX-min avgCutIdx,P1/MAX-min firstChildCut,P2/MIN-max nodes,P2/MIN-max cutoffs,P2/MIN-max avgCutIdx,P2/MIN-max firstChildCut,P2/MIN-min nodes,P2/MIN-min cutoffs,P2/MIN-min avgCutIdx,P2/MIN-min firstChildCut,[Visited]lookups,[Visited]hits,[Visited]inserts,[Visited]hit_rate
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,70,1,objective,25,0.495841,4765,4055,0.0480888,96.9667,1674,544,0.0367647,97.2426,3232,1578,0.228771,83.3967,6875,5094,0.0781311,95.6616,31276,1292,30037,4.13096
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,71,1,objective,29,0.46644,5648,4785,0.0453501,97.116,2004,682,0.0762463,92.8152,3303,1705,0.249853,81.6422,7014,4999,0.0834167,94.6989,34682,1322,33400,3.81178
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,72,2,objective,30,0.533825,5903,4397,0.0989311,93.6775,2629,1155,0.0935065,93.4199,3306,1504,0.255984,81.25,8173,6191,0.0743014,95.445,38833,1840,37086,4.73824
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,73,2,objective,28,0.507249,5841,4384,0.0768704,95.0958,2554,1106,0.100362,92.5859,3161,1445,0.232526,82.3529,7851,5962,0.0776585,95.421,37572,1524,36113,4.05621
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,74,2,objective,28,0.512682,5846,4419,0.0846345,94.2747,2546,1102,0.100726,92.7405,3190,1457,0.239533,82.0865,7964,6076,0.0780118,95.3094,37814,1536,36344,4.06199
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,75,1,objective,15,0.403582,4746,3703,0.0723738,95.7602,1889,821,0.045067,96.5895,2306,1159,0.209664,85.2459,5375,3961,0.072204,95.4557,28194,1041,27195,3.69227
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,76,1,objective,15,0.388332,4713,3637,0.0701127,95.8207,1900,843,0.0344009,97.3903,2212,1086,0.212707,85.175,5196,3849,0.0779423,95.3235,27553,1045,26550,3.79269
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,77,1,objective,15,0.400579,4850,3765,0.0706507,95.7238,1947,860,0.0325581,97.3256,2302,1143,0.211724,84.8644,5376,3970,0.0783375,95.3652,28450,1073,27421,3.77153
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,78,2,objective,24,0.437664,4919,4079,0.0546703,96.8865,1856,659,0.091047,92.1093,2979,1542,0.245785,82.7497,6543,4622,0.0828646,94.656,31924,1169,30809,3.66182
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,79,2,objective,28,0.528508,5883,4404,0.0896912,94.3006,2567,1113,0.0889488,93.531,3344,1523,0.237689,83.0598,8316,6303,0.078534,95.3038,38998,1685,37388,4.32073
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,80,2,objective,26,0.439362,5646,4380,0.0703196,95.7763,2319,1007,0.121152,91.2612,2606,1230,0.236585,82.9268,6262,4749,0.0718046,95.5148,32627,1357,31336,4.15913
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,81,1,objective,25,0.445233,4563,3850,0.0464935,96.987,1637,549,0.0382514,97.2678,3342,1669,0.244458,82.9838,7059,5178,0.0739668,95.6933,31598,1289,30362,4.07937
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,82,2,objective,28,0.531963,5688,4268,0.0873946,94.0956,2501,1071,0.0840336,93.9309,3315,1502,0.237017,82.5566,8243,6237,0.0816097,95.0297,38260,1634,36692,4.27078
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,83,2,objective,24,0.449689,4981,4112,0.0508268,96.9358,1879,666,0.100601,91.5916,2975,1571,0.24443,82.5589,6449,4497,0.0822771,94.7965,31988,1175,30862,3.67325
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,84,2,objective,30,0.530877,5880,4303,0.102022,93.5859,2691,1234,0.103728,92.8687,3310,1498,0.246328,82.51,8173,6203,0.078188,95.2281,38991,1813,37253,4.64979
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,85,2,objective,28,0.522985,5793,4324,0.0915819,94.2414,2549,1106,0.0822785,94.0325,3313,1514,0.237781,82.6948,8234,6226,0.0761323,95.3421,38589,1649,37010,4.27324
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,86,2,objective,30,0.532148,5835,4219,0.100498,93.6715,2694,1281,0.0827479,94.2233,3336,1510,0.249007,81.3907,8273,6275,0.078247,95.3785,39146,1824,37410,4.65948
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,87,2,objective,26,0.491018,5581,4593,0.0520357,96.7342,2041,762,0.119423,90.2887,2769,1355,0.24059,82.6568,6308,4622,0.0802683,94.7209,32407,1196,31255,3.69056
A,Ad-Gd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/A/Ad-Gd_s_7_100-1.txt,Ad,Gd,7,100,1,88,2,objective,24,0.418964,4769,3869,0.0594469,96.4073,1863,671,0.0536513,95.9762,2767,1329,0.273138,81.7908,6432,4811,0.0762835,95.3856,30090,1244,28889,4.13426
