folder,filename,filepath,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds,P1/MAX-max nodes,P1/MAX-max cutoffs,P1/MAX-max avgCutIdx,P1/MAX-max firstChildCut,P1/MAX-min nodes,P1/MAX-min cutoffs,P1/MAX-min avgCutIdx,P1/MAX-min firstChildCut,P2/MIN-max nodes,P2/MIN-max cutoffs,P2/MIN-max avgCutIdx,P2/MIN-max firstChildCut,P2/MIN-min nodes,P2/MIN-min cutoffs,P2/MIN-min avgCutIdx,P2/MIN-min firstChildCut,[Visited]lookups,[Visited]hits,[Visited]inserts,[Visited]hit_rate
C,Cd-Jd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Jd_s_7_100-1.txt,Cd,Jd,7,100,1,66,1,no_moves,33,0.532006,6170,4263,0.0706076,95.6369,2876,1501,0.233844,85.2765,3578,1809,0.210061,85.1299,8127,5974,0.0594242,96.2169,41330,1806,39599,4.36971
C,Cd-Jd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Jd_s_7_100-1.txt,Cd,Jd,7,100,1,67,1,no_moves,31,0.554997,6282,4337,0.0705557,95.6883,2919,1528,0.235602,84.8822,3471,1731,0.207395,85.3842,8034,5975,0.0577406,96.2678,41227,1784,39522,4.32726
C,Cd-Jd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Jd_s_7_100-1.txt,Cd,Jd,7,100,1,68,1,objective,28,0.527778,6229,4225,0.0745562,95.787,2741,1451,0.284631,82.2881,3196,1600,0.223125,84.0,7401,5435,0.0689972,95.805,39543,1622,37992,4.10186
C,Cd-Jd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Jd_s_7_100-1.txt,Cd,Jd,7,100,1,69,1,objective,28,0.534594,6098,4125,0.0729697,95.903,2707,1441,0.276891,82.0958,3176,1592,0.23995,83.6055,7466,5468,0.0694952,95.9034,39411,1579,37895,4.0065
C,Cd-Jd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Jd_s_7_100-1.txt,Cd,Jd,7,100,1,70,1,objective,33,0.518453,6753,4609,0.0661749,96.4634,3028,1609,0.332505,80.3605,3156,1556,0.186375,86.5039,6971,5003,0.0707575,95.7825,40084,1675,38469,4.17872
C,Cd-Jd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Jd_s_7_100-1.txt,Cd,Jd,7,100,1,71,1,objective,28,0.534785,6062,4105,0.0799026,95.5664,2683,1424,0.264747,83.1461,3292,1677,0.22898,83.9595,7693,5644,0.0628987,96.0489,40017,1590,38489,3.97331
C,Cd-Jd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Jd_s_7_100-1.txt,Cd,Jd,7,100,1,72,2,objective,28,0.516068,5885,4066,0.0654206,96.2371,2852,1464,0.195355,87.7732,3228,1583,0.200884,84.144,7515,5498,0.0749363,95.6893,39083,1530,37605,3.91475
C,Cd-Jd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Jd_s_7_100-1.txt,Cd,Jd,7,100,1,73,1,objective,28,0.522489,6211,4187,0.074994,95.7965,2754,1481,0.27684,82.6469,3202,1594,0.235885,84.128,7431,5445,0.0701561,95.7025,39677,1674,38074,4.21907
C,Cd-Jd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Jd_s_7_100-1.txt,Cd,Jd,7,100,1,74,2,objective,30,0.51887,5564,3692,0.0698808,95.6121,2874,1531,0.184847,88.243,3284,1437,0.226166,83.6465,8183,6260,0.0632588,96.1182,39315,1748,37647,4.44614
C,Cd-Jd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Jd_s_7_100-1.txt,Cd,Jd,7,100,1,75,1,no_moves,33,0.540279,6156,4212,0.0795347,95.3466,2913,1542,0.248379,82.7497,3581,1802,0.18202,86.4595,8091,5975,0.0589121,96.1506,41286,1873,39502,4.53665
C,Cd-Jd_s_7_100-1.txt,/Users/adelinopereira/Documents/LEI/3_ano/2_semestre/PEI_21184/Rastros_ult/cpp/build/tourn_test/d7_100J/C/Cd-Jd_s_7_100-1.txt,Cd,Jd,7,100,1,76,2,objective,38,0.485739,5866,3979,0.0625785,95.8532,3044,1544,0.202073,88.342,3174,1438,0.264256,81.7107,7402,5524,0.0772991,95.5829,37813,2002,35890,5.29448
