ply number,player type,move,score
1,MAX,d5,
2,MIN,e6,-1
3,MAX,d6,1
4,MIN,c7,0
5,MAX,b6,2
6,MIN,b7,1
7,MAX,a7,4
8,MIN,a6,3
9,MAX,a5,4
10,MIN,a4,2
11,MAX,a3,3
12,MIN,b4,1
13,MAX,c5,3
14,MIN,b5,1
15,MAX,c4,4
16,MIN,d3,0
17,MAX,c2,1
18,MIN,d2,0
19,MAX,c1,0
20,MIN,d1,-1
21,MAX,e1,0
22,MIN,e2,-2
23,MAX,f1,-1
24,MIN,g2,-2
25,MAX,g1,-1
26,MIN,f2,-2
27,MAX,g3,-1
28,MIN,g4,-6
29,MAX,f3,-4
30,MIN,e4,-898
31,MAX,d4,-898
32,MIN,e3,-899
33,MAX,f4,-899
34,MIN,f5,-996
35,MAX,g5,-997
36,MIN,g6,-998
37,MAX,f7,-999
