ply number,player type,move,score
1,MAX,e4,
2,MIN,f5,-1
3,MAX,f4,1
4,MIN,g3,0
5,MAX,f2,2
6,MIN,g2,1
7,MAX,g1,4
8,MIN,f1,3
9,MAX,e1,4
10,MIN,d2,2
11,MAX,e3,4
12,MIN,d4,2
13,MAX,d3,5
14,MIN,c2,2
15,MAX,b1,3
16,MIN,c1,0
17,MAX,b2,2
18,MIN,c3,-1
19,MAX,b3,1
20,MIN,c4,-2
21,MAX,b4,0
22,MIN,c5,-2
23,MAX,b5,0
24,MIN,a6,-4
25,MAX,a7,-2
26,MIN,b7,-7
27,MAX,c7,-6
28,MIN,d7,-898
29,MAX,c6,-898
30,MIN,d6,-899
31,MAX,d5,-899
32,MIN,e6,-996
33,MAX,e7,-997
34,MIN,f7,-998
35,MAX,f6,-999
