ply number,player type,move,score
1,MAX,d5,
2,MIN,e6,-1
3,MAX,d6,1
4,MIN,c7,0
5,MAX,b6,2
6,MIN,b7,1
7,MAX,a7,4
8,MIN,a6,3
9,MAX,a5,4
10,MIN,b4,2
11,MAX,c5,4
12,MIN,d4,2
13,MAX,c4,5
14,MIN,b3,2
15,MAX,a2,3
16,MIN,a3,0
17,MAX,b2,2
18,MIN,c3,-1
19,MAX,c2,1
20,MIN,d3,-2
21,MAX,d2,0
22,MIN,e3,-2
23,MAX,e2,0
24,MIN,f1,-4
25,MAX,g1,-2
26,MIN,g2,-7
27,MAX,g3,-6
28,MIN,g4,-898
29,MAX,f3,-898
30,MIN,f4,-899
31,MAX,e4,-899
32,MIN,f5,-996
33,MAX,g5,-997
34,MIN,g6,-998
35,MAX,f6,-999
