ply number,player type,move,score
1,MAX,e6,
2,MIN,f7,-1
3,MAX,e7,-2
4,MIN,f6,1
5,MAX,f5,0
6,MIN,g4,2
7,MAX,f3,1
8,MIN,g3,2
9,MAX,g2,1
10,MIN,g1,3
11,MAX,f1,2
12,MIN,f2,5
13,MAX,e3,4
14,MIN,e2,6
15,MAX,e1,4
16,MIN,d2,6
17,MAX,d1,3
18,MIN,c1,5
19,MAX,b1,3
20,MIN,c2,6
21,MAX,d3,3
22,MIN,d4,5
23,MAX,c5,3
24,MIN,d6,3
25,MAX,d7,3
26,MIN,c7,4
27,MAX,b6,3
28,MIN,a7,5
29,MAX,a6,4
30,MIN,b7,6
31,MAX,c6,5
32,MIN,b5,7
33,MAX,a5,6
34,MIN,a4,899
35,MAX,a3,899
36,MIN,b4,995
37,MAX,b3,996
38,MIN,c4,997
39,MAX,c3,998
40,MIN,b2,999
