ply number,player type,move,score
1,MAX,d5,
2,MIN,e6,1
3,MAX,d6,0
4,MIN,e7,2
5,MAX,d7,1
6,MIN,c7,3
7,MAX,b7,2
8,MIN,a7,3
9,MAX,a6,2
10,MIN,b6,4
11,MAX,c5,3
12,MIN,d4,5
13,MAX,c3,3
14,MIN,b3,5
15,MAX,a2,1
16,MIN,a3,2
17,MAX,b2,-1
18,MIN,c2,0
19,MAX,d1,-2
20,MIN,e2,0
21,MAX,e3,-1
22,MIN,d3,0
23,MAX,e4,-2
24,MIN,f5,1
25,MAX,f4,0
26,MIN,g5,895
27,MAX,g4,894
28,MIN,g3,896
29,MAX,f2,896
30,MIN,f3,897
31,MAX,g2,898
32,MIN,g1,899
33,MAX,f1,995
34,MIN,e1,996
35,MAX,d2,997
36,MIN,c1,998
37,MAX,b1,999
38,MIN,a1,1000
