ply number,player type,move,score
1,MAX,e6,
2,MIN,f7,-1
3,MAX,e7,-2
4,MIN,f6,1
5,MAX,f5,0
6,MIN,g4,2
7,MAX,f3,1
8,MIN,g3,2
9,MAX,f2,1
10,MIN,g2,3
11,MAX,g1,2
12,MIN,f1,5
13,MAX,e2,3
14,MIN,e3,6
15,MAX,d4,4
16,MIN,c5,4
17,MAX,c4,3
18,MIN,d5,4
19,MAX,d6,4
20,MIN,d7,4
21,MAX,c6,4
22,MIN,c7,4
23,MAX,b6,4
24,MIN,b7,5
25,MAX,a7,4
26,MIN,a6,6
27,MAX,a5,5
28,MIN,b5,6
29,MAX,b4,5
30,MIN,c3,899
31,MAX,b3,899
32,MIN,c2,995
33,MAX,b1,996
34,MIN,c1,997
35,MAX,b2,998
36,MIN,a3,999
