ply number,player type,move,score
1,MAX,e4,
2,MIN,f5,1
3,MAX,f4,0
4,MIN,g5,2
5,MAX,g4,1
6,MIN,g3,3
7,MAX,g2,2
8,MIN,g1,3
9,MAX,f1,2
10,MIN,f2,4
11,MAX,e3,3
12,MIN,d4,5
13,MAX,c3,3
14,MIN,c2,5
15,MAX,b1,1
16,MIN,c1,2
17,MAX,b2,-1
18,MIN,b3,0
19,MAX,a4,-2
20,MIN,b5,0
21,MAX,c5,-1
22,MIN,c4,0
23,MAX,d5,-2
24,MIN,e6,1
25,MAX,d6,0
26,MIN,e7,895
27,MAX,d7,894
28,MIN,c6,896
29,MAX,b6,896
30,MIN,c7,897
31,MAX,b7,898
32,MIN,a7,899
33,MAX,a6,995
34,MIN,a5,996
35,MAX,b4,997
36,MIN,a3,998
37,MAX,a2,999
38,MIN,a1,1000
