ply number,player type,move,score
1,MAX,f5,
2,MIN,g6,-1
3,MAX,g5,-2
4,MIN,f6,1
5,MAX,e6,0
6,MIN,d7,2
7,MAX,c6,1
8,MIN,c7,2
9,MAX,b7,1
10,MIN,a7,3
11,MAX,a6,2
12,MIN,b6,5
13,MAX,c5,4
14,MIN,b5,6
15,MAX,a5,4
16,MIN,b4,6
17,MAX,b3,3
18,MIN,c2,4
19,MAX,b1,2
20,MIN,c1,2
21,MAX,d1,1
22,MIN,e2,2
23,MAX,f3,2
24,MIN,g2,3
25,MAX,g3,2
26,MIN,g4,4
27,MAX,f4,3
28,MIN,e4,4
29,MAX,d4,0
30,MIN,d3,-200
31,MAX,e3,-897
32,MIN,d2,-898
33,MAX,c3,-899
34,MIN,c4,-995
35,MAX,d5,-996
36,MIN,d6,-997
37,MAX,e7,-998
38,MIN,f7,-999
39,MAX,g7,-1000
