ply number,player type,move,score
1,MAX,d5,
2,MIN,e6,1
3,MAX,d6,0
4,MIN,e7,2
5,MAX,d7,1
6,MIN,c7,3
7,MAX,b7,2
8,MIN,a7,3
9,MAX,a6,2
10,MIN,b6,4
11,MAX,c6,3
12,MIN,b5,4
13,MAX,c4,3
14,MIN,b3,3
15,MAX,a2,1
16,MIN,a3,2
17,MAX,b4,0
18,MIN,c3,2
19,MAX,b2,-1
20,MIN,c2,0
21,MAX,d1,-2
22,MIN,e2,0
23,MAX,e1,-2
24,MIN,f1,-1
25,MAX,g1,-3
26,MIN,g2,-2
27,MAX,f2,-5
28,MIN,f3,-4
29,MAX,e3,-6
30,MIN,f4,-4
31,MAX,g3,-899
32,MIN,g4,-899
33,MAX,g5,-995
34,MIN,f6,-996
35,MAX,f5,-997
36,MIN,g6,-998
37,MAX,f7,-999
