ply number,player type,move,score
1,MAX,d4,
2,MIN,e3,0
3,MAX,d2,-1
4,MIN,e1,-1
5,MAX,d1,-2
6,MIN,e2,-1
7,MAX,f1,-3
8,MIN,g1,-2
9,MAX,f2,-4
10,MIN,g2,-3
11,MAX,f3,-5
12,MIN,g4,-3
13,MAX,g3,-5
14,MIN,f4,-3
15,MAX,g5,-5
16,MIN,g6,-1
17,MAX,f5,-2
18,MIN,f6,1
19,MAX,e6,0
20,MIN,d7,2
21,MAX,c6,1
22,MIN,c7,2
23,MAX,b7,1
24,MIN,a7,3
25,MAX,a6,2
26,MIN,b6,6
27,MAX,c5,5
28,MIN,b5,7
29,MAX,c4,7
30,MIN,d5,899
31,MAX,e4,898
32,MIN,d3,899
33,MAX,c3,899
34,MIN,b4,995
35,MAX,a3,996
36,MIN,b3,997
37,MAX,a2,998
38,MIN,b2,999
