ply number,player type,move,score
1,MAX,d6,
2,MIN,e7,1
3,MAX,d7,0
4,MIN,c7,2
5,MAX,c6,1
6,MIN,b7,2
7,MAX,a6,1
8,MIN,a7,2
9,MAX,b6,1
10,MIN,b5,3
11,MAX,a5,1
12,MIN,a4,3
13,MAX,a3,1
14,MIN,b4,3
15,MAX,c5,1
16,MIN,d4,3
17,MAX,c3,0
18,MIN,d3,1
19,MAX,c2,-1
20,MIN,d2,0
21,MAX,c1,-2
22,MIN,d1,-2
23,MAX,e1,-3
24,MIN,f1,-2
25,MAX,g1,-4
26,MIN,f2,-3
27,MAX,g2,-5
28,MIN,g3,-4
29,MAX,f3,-6
30,MIN,g4,-5
31,MAX,f4,-995
32,MIN,g5,-996
33,MAX,f5,-997
34,MIN,g6,-998
35,MAX,f7,-999
