ply number,player type,move,score
1,MIN,f7,-2
2,MAX,e7,1
3,MIN,f6,0
4,MAX,f5,2
5,MIN,g4,1
6,MAX,g3,3
7,MIN,f3,3
8,MAX,e4,5
9,MIN,d5,3
10,MAX,d4,5
11,MIN,c5,4
12,MAX,c4,6
13,MIN,b5,4
14,MAX,a4,4
15,MIN,a3,2
16,MAX,a2,3
17,MIN,b3,0
18,MAX,b2,1
19,MIN,c3,0
20,MAX,d3,1
21,MIN,c2,0
22,MAX,d1,897
23,MIN,e2,898
24,MAX,e1,899
25,MIN,f1,994
26,MAX,f2,995
27,MIN,e3,996
28,MAX,d2,997
29,MIN,c1,998
30,MAX,b1,999
31,MIN,a1,1000
