ply number,player type,move,score
1,MAX,e6,
2,MIN,f7,-3
3,MAX,e7,-5
4,MIN,f6,-1
5,MAX,f5,-2
6,MIN,g4,1
7,MAX,f3,0
8,MIN,g3,1
9,MAX,f2,1
10,MIN,g1,2
11,MAX,g2,1
12,MIN,f1,3
13,MAX,e1,2
14,MIN,d2,4
15,MAX,c1,2
16,MIN,d1,4
17,MAX,c2,1
18,MIN,d3,4
19,MAX,d4,3
20,MIN,c5,6
21,MAX,c4,4
22,MIN,b3,9
23,MAX,b2,3
24,MIN,c3,5
25,MAX,b4,1
26,MIN,b5,2
27,MAX,a6,0
28,MIN,a7,2
29,MAX,b7,-1
30,MIN,c7,0
31,MAX,b6,-894
32,MIN,c6,-895
33,MAX,d7,-896
34,MIN,d6,-896
35,MAX,d5,-898
36,MIN,e4,-899
37,MAX,f4,-997
38,MIN,g5,-998
39,MAX,g6,-999
