ply number,player type,move,score
1,MAX,e4,
2,MIN,f5,0
3,MAX,f4,-1
4,MIN,g5,1
5,MAX,g4,1
6,MIN,g3,2
7,MAX,g2,1
8,MIN,f3,3
9,MAX,f2,2
10,MIN,e1,3
11,MAX,e2,2
12,MIN,e3,4
13,MAX,d2,3
14,MIN,d3,5
15,MAX,c2,3
16,MIN,b3,5
17,MAX,a2,1
18,MIN,a3,2
19,MAX,a4,0
20,MIN,a5,1
21,MAX,b4,-1
22,MIN,c4,0
23,MAX,b5,-2
24,MIN,b6,-1
25,MAX,a6,-2
26,MIN,a7,-1
27,MAX,b7,-3
28,MIN,c7,-2
29,MAX,d7,-3
30,MIN,c6,-1
31,MAX,c5,-5
32,MIN,d6,-3
33,MAX,d5,-899
34,MIN,e6,-899
35,MAX,e7,-997
36,MIN,f6,-998
37,MAX,g6,-999
