ply number,player type,move,score
1,MAX,f5,
2,MIN,g6,-3
3,MAX,g5,-5
4,MIN,f6,-1
5,MAX,e6,-2
6,MIN,d7,1
7,MAX,c6,0
8,MIN,c7,1
9,MAX,b6,1
10,MIN,a7,2
11,MAX,b7,1
12,MIN,a6,3
13,MAX,a5,2
14,MIN,b4,4
15,MAX,a3,2
16,MIN,a4,4
17,MAX,b3,1
18,MIN,c4,4
19,MAX,d4,3
20,MIN,e3,6
21,MAX,d3,4
22,MIN,c3,9
23,MAX,b2,3
24,MIN,c2,5
25,MAX,d1,1
26,MIN,e2,2
27,MAX,f1,0
28,MIN,g1,2
29,MAX,g2,-1
30,MIN,g3,0
31,MAX,f2,-894
32,MIN,f3,-895
33,MAX,g4,-896
34,MIN,f4,-896
35,MAX,e4,-898
36,MIN,d5,-899
37,MAX,d6,-997
38,MIN,e7,-998
39,MAX,f7,-999
