ply number,player type,move,score
1,MAX,d5,
2,MIN,e6,0
3,MAX,d6,-1
4,MIN,e7,1
5,MAX,d7,1
6,MIN,c7,2
7,MAX,c6,1
8,MIN,b7,3
9,MAX,b6,2
10,MIN,a5,3
11,MAX,b5,2
12,MIN,c5,4
13,MAX,b4,3
14,MIN,c4,5
15,MAX,b3,3
16,MIN,c3,5
17,MAX,b2,1
18,MIN,c2,2
19,MAX,d1,-1
20,MIN,e2,0
21,MAX,e1,-1
22,MIN,f2,-1
23,MAX,g1,-2
24,MIN,f1,-1
25,MAX,g2,-3
26,MIN,g3,-2
27,MAX,f4,-4
28,MIN,g5,0
29,MAX,g4,-2
30,MIN,f3,0
31,MAX,e3,-897
32,MIN,d4,-898
33,MAX,d3,-899
34,MIN,e4,-899
35,MAX,f5,-997
36,MIN,g6,-998
37,MAX,f6,-999
