ply number,player type,move,score
1,MAX,f4,
2,MIN,g5,0
3,MAX,g4,-1
4,MIN,g3,1
5,MAX,g2,0
6,MIN,f3,2
7,MAX,f2,1
8,MIN,e1,2
9,MAX,e2,1
10,MIN,d1,3
11,MAX,c1,1
12,MIN,d2,3
13,MAX,e3,1
14,MIN,e4,3
15,MAX,d3,1
16,MIN,c4,4
17,MAX,b3,0
18,MIN,b4,1
19,MAX,a3,0
20,MIN,a4,0
21,MAX,a5,-1
22,MIN,b6,0
23,MAX,a7,-1
24,MIN,b7,0
25,MAX,a6,-2
26,MIN,b5,-1
27,MAX,c5,-3
28,MIN,c6,-2
29,MAX,c7,-4
30,MIN,d7,-3
31,MAX,d6,-899
32,MIN,e7,-899
33,MAX,e6,-997
34,MIN,f7,-998
35,MAX,f6,-999
