ply number,player type,move,score
1,MAX,d6,
2,MIN,e7,-3
3,MAX,d7,-3
4,MIN,e6,0
5,MAX,d5,-1
6,MIN,e4,2
7,MAX,d4,0
8,MIN,e3,3
9,MAX,d2,1
10,MIN,e1,3
11,MAX,d1,1
12,MIN,c1,7
13,MAX,b1,5
14,MIN,c2,7
15,MAX,b2,4
16,MIN,c3,6
17,MAX,b4,4
18,MIN,c5,4
19,MAX,b5,4
20,MIN,b6,6
21,MAX,c7,6
22,MIN,c6,6
23,MAX,b7,6
24,MIN,a7,6
25,MAX,a6,6
26,MIN,a5,6
27,MAX,a4,6
28,MIN,a3,8
29,MAX,a2,-892
30,MIN,b3,-893
31,MAX,c4,-894
32,MIN,d3,-895
33,MAX,e2,-896
34,MIN,f3,-895
35,MAX,g2,-896
36,MIN,g1,-894
37,MAX,f1,-895
38,MIN,f2,-896
39,MAX,g3,-897
40,MIN,f4,-897
41,MAX,g4,-898
42,MIN,f5,-898
43,MAX,g5,-899
44,MIN,f6,-899
45,MAX,g6,-999
