ply number,player type,move,score
1,MAX,d4,
2,MIN,e4,2
3,MAX,d3,0
4,MIN,e3,3
5,MAX,d2,1
6,MIN,e1,3
7,MAX,f1,-1
8,MIN,g2,0
9,MAX,g1,0
10,MIN,f2,1
11,MAX,g3,-3
12,MIN,g4,-1
13,MAX,f3,-4
14,MIN,f4,-4
15,MAX,f5,-6
16,MIN,g6,-5
17,MAX,g5,-5
18,MIN,f6,-3
19,MAX,e7,-5
20,MIN,d7,-1
21,MAX,c6,-2
22,MIN,d6,0
23,MAX,c7,0
24,MIN,b7,1
25,MAX,a6,0
26,MIN,a7,0
27,MAX,b6,0
28,MIN,c5,2
29,MAX,b4,1
30,MIN,b5,3
31,MAX,a5,3
32,MIN,a4,4
33,MAX,a3,3
34,MIN,b3,6
35,MAX,a2,5
36,MIN,b2,999
