ply number,player type,move,score
1,MAX,d4,
2,MIN,d5,2
3,MAX,c4,0
4,MIN,c5,3
5,MAX,b4,1
6,MIN,a5,3
7,MAX,a6,-1
8,MIN,b7,0
9,MAX,a7,0
10,MIN,b6,1
11,MAX,c7,-3
12,MIN,d6,-1
13,MAX,c6,-4
14,MIN,d7,-4
15,MAX,e6,-6
16,MIN,f7,-5
17,MAX,e7,-5
18,MIN,f6,-3
19,MAX,g5,-5
20,MIN,g4,-1
21,MAX,f3,-2
22,MIN,f4,0
23,MAX,g3,0
24,MIN,g2,1
25,MAX,f1,0
26,MIN,g1,0
27,MAX,f2,0
28,MIN,e3,2
29,MAX,d2,1
30,MIN,e2,3
31,MAX,e1,3
32,MIN,d1,4
33,MAX,c1,3
34,MIN,c2,6
35,MAX,b1,5
36,MIN,b2,999
