ply number,player type,move,score
1,MAX,d6,
2,MIN,e7,-4
3,MAX,d7,-3
4,MIN,e6,-3
5,MAX,d5,0
6,MIN,e4,-1
7,MAX,d4,2
8,MIN,e3,0
9,MAX,d3,3
10,MIN,e2,1
11,MAX,d2,4
12,MIN,e1,2
13,MAX,d1,897
14,MIN,c2,898
15,MAX,b1,899
16,MIN,c1,898
17,MAX,b2,899
18,MIN,c3,897
19,MAX,b3,898
20,MIN,c4,896
21,MAX,b4,897
22,MIN,c5,895
23,MAX,b5,896
24,MIN,c6,894
25,MAX,b6,895
26,MIN,c7,893
27,MAX,b7,894
28,MIN,a7,894
29,MAX,a6,895
30,MIN,a5,896
31,MAX,a4,897
32,MIN,a3,898
33,MAX,a2,899
34,MIN,a1,1000
