ply number,player type,move,score
1,MAX,e6,
2,MIN,f7,-6
3,MAX,e7,-4
4,MIN,f6,-5
5,MAX,f5,-3
6,MIN,g6,-6
7,MAX,g5,894
8,MIN,g4,894
9,MAX,f4,895
10,MIN,g3,894
11,MAX,f2,895
12,MIN,g2,894
13,MAX,f3,895
14,MIN,e2,896
15,MAX,d2,897
16,MIN,e1,896
17,MAX,d1,897
18,MIN,c1,898
19,MAX,b1,899
20,MIN,c2,898
21,MAX,b2,899
22,MIN,c3,897
23,MAX,b3,898
24,MIN,c4,896
25,MAX,b4,897
26,MIN,c5,895
27,MAX,b5,896
28,MIN,c6,894
29,MAX,b6,895
30,MIN,c7,893
31,MAX,b7,894
32,MIN,a7,894
33,MAX,a6,895
34,MIN,a5,896
35,MAX,a4,897
36,MIN,a3,898
37,MAX,a2,899
38,MIN,a1,1000
