ply number,player type,move,score
1,MAX,f4,
2,MIN,g5,-4
3,MAX,g4,-3
4,MIN,f5,-3
5,MAX,e4,0
6,MIN,d5,-1
7,MAX,d4,2
8,MIN,c5,0
9,MAX,c4,3
10,MIN,b5,1
11,MAX,b4,4
12,MIN,a5,2
13,MAX,a4,897
14,MIN,a3,898
15,MAX,a2,899
16,MIN,b3,898
17,MAX,b2,899
18,MIN,c3,897
19,MAX,c2,898
20,MIN,d3,896
21,MAX,d2,897
22,MIN,e3,895
23,MAX,e2,896
24,MIN,f3,894
25,MAX,f2,895
26,MIN,g3,893
27,MAX,g2,894
28,MIN,g1,894
29,MAX,f1,895
30,MIN,e1,896
31,MAX,d1,897
32,MIN,c1,898
33,MAX,b1,899
34,MIN,a1,1000
