ply number,player type,move,score
1,MAX,d5,
2,MIN,e6,-4
3,MAX,d6,-2
4,MIN,e7,-5
5,MAX,d7,1
6,MIN,c7,1
7,MAX,c6,1
8,MIN,b6,1
9,MAX,a5,3
10,MIN,a6,2
11,MAX,b5,2
12,MIN,c5,1
13,MAX,b4,3
14,MIN,c4,2
15,MAX,b3,4
16,MIN,c2,3
17,MAX,b1,6
18,MIN,c1,4
19,MAX,b2,5
20,MIN,c3,-895
21,MAX,d2,-895
22,MIN,e3,-896
23,MAX,e2,-895
24,MIN,d3,-896
25,MAX,d4,-896
26,MIN,e4,-897
27,MAX,f3,-896
28,MIN,f4,-897
29,MAX,g3,-896
30,MIN,g4,-897
31,MAX,f5,-898
32,MIN,g6,-899
33,MAX,g5,-898
34,MIN,f6,-899
35,MAX,f7,-899
