ply number,player type,move,score
1,MAX,e6,
2,MIN,f7,-6
3,MAX,e7,-4
4,MIN,f6,-5
5,MAX,f5,-3
6,MIN,g6,-6
7,MAX,g5,894
8,MIN,g4,894
9,MAX,f4,895
10,MIN,g3,894
11,MAX,f3,895
12,MIN,g2,894
13,MAX,f2,895
14,MIN,g1,894
15,MAX,f1,895
16,MIN,e1,896
17,MAX,d1,897
18,MIN,e2,896
19,MAX,d2,897
20,MIN,e3,896
21,MAX,d3,897
22,MIN,e4,896
23,MAX,d4,897
24,MIN,d5,896
25,MAX,c4,897
26,MIN,b5,896
27,MAX,a4,897
28,MIN,a5,896
29,MAX,b4,897
30,MIN,c5,0
31,MAX,d6,-200
32,MIN,c6,0
33,MAX,d7,-200
34,MIN,c7,0
35,MAX,b7,-200
36,MIN,a7,0
37,MAX,b6,-200
