ply number,player type,move,score
1,MAX,f5,
2,MIN,g6,-6
3,MAX,g5,-4
4,MIN,f6,-5
5,MAX,e6,-3
6,MIN,f7,-6
7,MAX,e7,894
8,MIN,d7,894
9,MAX,d6,895
10,MIN,c7,894
11,MAX,c6,895
12,MIN,b7,894
13,MAX,b6,895
14,MIN,a7,894
15,MAX,a6,895
16,MIN,b5,896
17,MAX,b4,897
18,MIN,a5,896
19,MAX,a4,897
20,MIN,b3,898
21,MAX,a2,899
22,MIN,a3,898
23,MAX,b2,899
24,MIN,c3,897
25,MAX,c2,898
26,MIN,d3,896
27,MAX,d2,897
28,MIN,e3,895
29,MAX,e2,896
30,MIN,f3,894
31,MAX,f2,895
32,MIN,g3,893
33,MAX,g2,894
34,MIN,g1,894
35,MAX,f1,895
36,MIN,e1,896
37,MAX,d1,897
38,MIN,c1,898
39,MAX,b1,899
40,MIN,a1,1000
