ply number,player type,move,score
1,MAX,e6,
2,MIN,f7,-6
3,MAX,e7,-4
4,MIN,f6,-5
5,MAX,f5,-3
6,MIN,g6,-6
7,MAX,g5,894
8,MIN,g4,894
9,MAX,f4,895
10,MIN,g3,894
11,MAX,f2,895
12,MIN,g1,894
13,MAX,f1,895
14,MIN,g2,894
15,MAX,f3,895
16,MIN,e3,896
17,MAX,d3,897
18,MIN,e2,896
19,MAX,d1,897
20,MIN,e1,896
21,MAX,d2,897
22,MIN,c1,898
23,MAX,b1,899
24,MIN,c2,898
25,MAX,b2,899
26,MIN,c3,897
27,MAX,b3,898
28,MIN,c4,896
29,MAX,b4,897
30,MIN,c5,895
31,MAX,b5,896
32,MIN,c6,894
33,MAX,b6,895
34,MIN,c7,893
35,MAX,b7,894
36,MIN,a7,894
37,MAX,a6,895
38,MIN,a5,896
39,MAX,a4,897
40,MIN,a3,898
41,MAX,a2,899
42,MIN,a1,1000
