Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
D vs A,71,17,12,0
D vs B,83,12,5,0
D vs C,64,20,16,0
D vs D,60,21,14,5
D vs E,44,45,8,3
D vs F,54,31,8,7
D vs G,33,0,67,0
D vs H,51,13,26,10
D vs I,43,32,15,10
D vs J,48,0,52,0
