Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
C vs A,82,0,18,0
C vs B,91,7,2,0
C vs C,66,0,27,7
C vs D,67,14,12,7
C vs E,58,14,23,5
C vs F,75,18,3,4
C vs G,30,0,70,0
C vs H,36,0,53,11
C vs I,49,3,40,8
C vs J,27,8,65,0
