Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
I vs A,69,28,3,0
I vs B,45,10,45,0
I vs C,41,59,0,0
I vs D,47,21,32,0
I vs E,68,23,9,0
I vs F,63,21,16,0
I vs G,53,2,45,0
I vs H,62,17,21,0
I vs I,54,6,40,0
I vs J,85,3,12,0
