Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
J vs A,87,7,6,0
J vs B,66,1,32,1
J vs C,64,14,12,10
J vs D,63,22,0,15
J vs E,58,12,30,0
J vs F,53,15,32,0
J vs G,74,16,10,0
J vs H,50,12,38,0
J vs I,50,10,40,0
J vs J,91,9,0,0
