Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
E vs A,73,19,7,1
E vs B,31,8,60,1
E vs C,57,31,12,0
E vs D,55,12,33,0
E vs E,83,5,12,0
E vs F,64,28,1,7
E vs G,86,1,13,0
E vs H,76,0,24,0
E vs I,44,41,15,0
E vs J,80,1,19,0
