Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
F vs A,77,22,1,0
F vs B,37,7,54,2
F vs C,48,44,8,0
F vs D,67,13,20,0
F vs E,60,30,10,0
F vs F,60,37,0,3
F vs G,72,0,28,0
F vs H,64,11,25,0
F vs I,50,38,12,0
F vs J,69,0,31,0
