Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
A vs A,60,23,17,0
A vs B,48,0,48,4
A vs C,43,11,46,0
A vs D,34,3,59,4
A vs E,33,2,63,2
A vs F,39,1,58,2
A vs G,26,0,70,4
A vs H,28,0,71,1
A vs I,29,0,71,0
A vs J,34,0,66,0
