Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
B vs A,51,19,23,7
B vs B,15,8,64,13
B vs C,15,44,30,11
B vs D,19,5,61,15
B vs E,21,21,25,33
B vs F,15,6,39,40
B vs G,24,0,41,35
B vs H,27,13,44,16
B vs I,16,2,50,32
B vs J,28,3,50,19
