Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
G vs A,81,18,1,0
G vs B,87,1,10,2
G vs C,49,51,0,0
G vs D,60,33,0,7
G vs E,61,39,0,0
G vs F,56,18,13,13
G vs G,57,25,18,0
G vs H,62,19,19,0
G vs I,57,9,34,0
G vs J,89,11,0,0
