ply number,player type,move,score
1,MAX,e4,
2,MIN,f5,2
3,MAX,g4,1
4,MIN,g5,3
5,MAX,f4,2
6,MIN,e3,4
7,MAX,f2,2
8,MIN,e1,4
9,MAX,f1,2
10,MIN,e2,4
11,MAX,d1,1
12,MIN,c1,3
13,MAX,b1,0
14,MIN,c2,2
15,MAX,d2,-1
16,MIN,d3,1
17,MAX,c3,-1
18,MIN,b4,0
19,MAX,a3,-2
20,MIN,a4,-1
21,MAX,a5,-2
22,MIN,b6,-1
23,MAX,b5,-3
24,MIN,a6,-1
25,MAX,a7,-5
26,MIN,b7,-3
27,MAX,c7,-898
28,MIN,d6,-899
29,MAX,c5,-993
30,MIN,c6,-994
31,MAX,d5,-995
32,MIN,e6,-996
33,MAX,d7,-997
34,MIN,e7,-998
35,MAX,f7,-999
