ply number,player type,move,score
1,MAX,e4,
2,MIN,f5,2
3,MAX,g4,1
4,MIN,g5,3
5,MAX,f4,2
6,MIN,g3,4
7,MAX,f3,2
8,MIN,g2,4
9,MAX,f1,2
10,MIN,g1,4
11,MAX,f2,2
12,MIN,e1,4
13,MAX,d1,1
14,MIN,c2,3
15,MAX,c1,1
16,MIN,d2,4
17,MAX,e2,0
18,MIN,e3,1
19,MAX,d3,-1
20,MIN,c3,0
21,MAX,d4,-1
22,MIN,c4,0
23,MAX,b3,-2
24,MIN,b4,-1
25,MAX,a5,-4
26,MIN,b6,-3
27,MAX,a6,-5
28,MIN,a7,-3
29,MAX,b7,-898
30,MIN,c6,-898
31,MAX,b5,-993
32,MIN,c5,-994
33,MAX,d5,-995
34,MIN,e6,-996
35,MAX,d6,-997
36,MIN,e7,-998
37,MAX,d7,-999
