ply number,player type,move,score
1,MAX,d6,
2,MIN,e7,2
3,MAX,d7,1
4,MIN,c7,2
5,MAX,b7,1
6,MIN,c6,3
7,MAX,b6,1
8,MIN,a7,3
9,MAX,a6,1
10,MIN,b5,3
11,MAX,a5,1
12,MIN,b4,3
13,MAX,a4,0
14,MIN,a3,2
15,MAX,a2,-1
16,MIN,b3,1
17,MAX,c2,-1
18,MIN,d3,0
19,MAX,d2,-2
20,MIN,e2,-1
21,MAX,d1,-2
22,MIN,e1,-1
23,MAX,f1,-3
24,MIN,g2,-1
25,MAX,g1,-4
26,MIN,f2,-4
27,MAX,e3,-6
28,MIN,f4,-5
29,MAX,f3,-993
30,MIN,g3,-994
31,MAX,g4,-995
32,MIN,g5,-996
33,MAX,f5,-997
34,MIN,g6,-998
35,MAX,f7,-999
