ply number,player type,move,score
1,MAX,e6,
2,MIN,f7,1
3,MAX,e7,0
4,MIN,f6,2
5,MAX,f5,1
6,MIN,g4,3
7,MAX,g3,2
8,MIN,g2,5
9,MAX,f3,3
10,MIN,e4,5
11,MAX,d5,3
12,MIN,d6,5
13,MAX,d7,3
14,MIN,c7,5
15,MAX,b6,3
16,MIN,a5,4
17,MAX,a6,3
18,MIN,a7,5
19,MAX,b7,3
20,MIN,c6,6
21,MAX,c5,4
22,MIN,d4,6
23,MAX,c4,4
24,MIN,b3,897
25,MAX,b4,6
26,MIN,c3,897
27,MAX,d2,898
28,MIN,e2,899
29,MAX,d1,899
30,MIN,e1,993
31,MAX,f2,994
32,MIN,e3,995
33,MAX,d3,996
34,MIN,c2,997
35,MAX,c1,998
36,MIN,b1,999
