ply number,player type,move,score
1,MAX,e4,
2,MIN,f5,2
3,MAX,g4,1
4,MIN,g5,3
5,MAX,f4,2
6,MIN,g3,3
7,MAX,f2,2
8,MIN,e1,3
9,MAX,f1,2
10,MIN,g1,4
11,MAX,g2,3
12,MIN,f3,5
13,MAX,e3,2
14,MIN,e2,4
15,MAX,d1,1
16,MIN,c1,3
17,MAX,b1,0
18,MIN,c2,2
19,MAX,b3,-1
20,MIN,b4,0
21,MAX,c5,-1
22,MIN,c6,1
23,MAX,d6,0
24,MIN,e7,2
25,MAX,d7,1
26,MIN,c7,5
27,MAX,b6,5
28,MIN,b7,6
29,MAX,a7,5
30,MIN,a6,993
31,MAX,a5,994
32,MIN,b5,995
33,MAX,a4,996
34,MIN,a3,997
35,MAX,a2,998
36,MIN,b2,999
