ply number,player type,move,score
1,MAX,d5,
2,MIN,e6,2
3,MAX,d7,1
4,MIN,e7,3
5,MAX,d6,2
6,MIN,c5,4
7,MAX,b6,2
8,MIN,a5,4
9,MAX,a6,2
10,MIN,b5,4
11,MAX,a4,1
12,MIN,a3,3
13,MAX,a2,0
14,MIN,b3,2
15,MAX,b4,-1
16,MIN,c4,1
17,MAX,c3,-1
18,MIN,d2,0
19,MAX,c1,-2
20,MIN,d1,-1
21,MAX,e1,-2
22,MIN,f2,-1
23,MAX,e2,-3
24,MIN,f1,-1
25,MAX,g1,-5
26,MIN,g2,-3
27,MAX,g3,-898
28,MIN,f4,-899
29,MAX,e3,-993
30,MIN,f3,-994
31,MAX,e4,-995
32,MIN,f5,-996
33,MAX,g4,-997
34,MIN,g5,-998
35,MAX,g6,-999
