ply number,player type,move,score
1,MAX,d5,
2,MIN,e6,2
3,MAX,d7,1
4,MIN,e7,3
5,MAX,d6,2
6,MIN,c7,3
7,MAX,b6,2
8,MIN,a5,3
9,MAX,a6,2
10,MIN,a7,4
11,MAX,b7,3
12,MIN,c6,5
13,MAX,c5,2
14,MIN,b5,4
15,MAX,a4,1
16,MIN,a3,3
17,MAX,a2,0
18,MIN,b3,2
19,MAX,c2,-1
20,MIN,d2,0
21,MAX,e3,-1
22,MIN,f3,1
23,MAX,f4,0
24,MIN,g5,2
25,MAX,g4,1
26,MIN,g3,5
27,MAX,f2,5
28,MIN,g1,6
29,MAX,g2,5
30,MIN,f1,993
31,MAX,e1,994
32,MIN,e2,995
33,MAX,d1,996
34,MIN,c1,997
35,MAX,b1,998
36,MIN,b2,999
