ply number,player type,move,score
1,MAX,e6,
2,MIN,f7,1
3,MAX,e7,0
4,MIN,f6,2
5,MAX,f5,1
6,MIN,g4,3
7,MAX,g3,2
8,MIN,f3,5
9,MAX,e2,3
10,MIN,e3,5
11,MAX,d2,3
12,MIN,e1,5
13,MAX,d1,3
14,MIN,c1,6
15,MAX,b1,3
16,MIN,c2,5
17,MAX,c3,2
18,MIN,d3,3
19,MAX,c4,1
20,MIN,d4,3
21,MAX,c5,2
22,MIN,d6,4
23,MAX,d7,3
24,MIN,c7,7
25,MAX,b6,5
26,MIN,b7,898
27,MAX,a7,898
28,MIN,a6,899
29,MAX,a5,899
30,MIN,b5,993
31,MAX,b4,994
32,MIN,a4,995
33,MAX,b3,996
34,MIN,a3,997
35,MAX,b2,998
36,MIN,a2,999
