ply number,player type,move,score
1,MAX,f5,
2,MIN,g6,1
3,MAX,g5,0
4,MIN,f6,2
5,MAX,e6,1
6,MIN,d7,3
7,MAX,c7,2
8,MIN,c6,5
9,MAX,b5,3
10,MIN,c5,5
11,MAX,b6,3
12,MIN,a7,5
13,MAX,b7,4
14,MIN,a6,6
15,MAX,a5,3
16,MIN,b4,5
17,MAX,a3,3
18,MIN,a4,4
19,MAX,b3,2
20,MIN,c4,4
21,MAX,c3,2
22,MIN,d4,3
23,MAX,d3,2
24,MIN,e3,4
25,MAX,f4,3
26,MIN,g4,5
27,MAX,g3,3
28,MIN,g2,9
29,MAX,f1,7
30,MIN,g1,898
31,MAX,f2,898
32,MIN,f3,899
33,MAX,e2,899
34,MIN,e1,993
35,MAX,d1,994
36,MIN,d2,995
37,MAX,c2,996
38,MIN,c1,997
39,MAX,b1,998
40,MIN,b2,999
