ply number,player type,move,score
1,MAX,e6,
2,MIN,f7,1
3,MAX,e7,0
4,MIN,f6,2
5,MAX,f5,1
6,MIN,g4,3
7,MAX,g3,2
8,MIN,g2,5
9,MAX,f3,3
10,MIN,e3,5
11,MAX,f2,4
12,MIN,g1,6
13,MAX,f1,4
14,MIN,e2,6
15,MAX,d1,3
16,MIN,e1,5
17,MAX,d2,3
18,MIN,c3,6
19,MAX,d4,4
20,MIN,d5,5
21,MAX,c4,5
22,MIN,b5,5
23,MAX,b6,5
24,MIN,a7,5
25,MAX,b7,5
26,MIN,c7,6
27,MAX,d7,5
28,MIN,d6,7
29,MAX,c6,6
30,MIN,c5,993
31,MAX,b4,994
32,MIN,b3,995
33,MAX,a2,996
34,MIN,a3,997
35,MAX,a4,998
36,MIN,a5,999
