ply number,player type,move,score
1,MAX,e6,
2,MIN,f7,-5
3,MAX,e7,-3
4,MIN,f6,-5
5,MAX,f5,-1
6,MIN,g4,-2
7,MAX,g3,1
8,MIN,g2,0
9,MAX,g1,2
10,MIN,f1,0
11,MAX,e1,1
12,MIN,f2,-1
13,MAX,e3,2
14,MIN,f3,2
15,MAX,e2,5
16,MIN,d1,3
17,MAX,d2,5
18,MIN,d3,4
19,MAX,c2,7
20,MIN,c3,5
21,MAX,b2,7
22,MIN,b3,3
23,MAX,a4,4
24,MIN,a5,1
25,MAX,b5,2
26,MIN,c4,-2
27,MAX,d4,895
28,MIN,d5,894
29,MAX,d6,895
30,MIN,d7,894
31,MAX,c6,895
32,MIN,c7,894
33,MAX,b7,895
34,MIN,a7,895
35,MAX,a6,896
36,MIN,b6,897
37,MAX,c5,898
38,MIN,b4,899
39,MAX,a3,998
40,MIN,a2,999
