ply number,player type,move,score
1,MAX,f5,
2,MIN,g6,-5
3,MAX,g5,-3
4,MIN,f6,-5
5,MAX,e6,-1
6,MIN,d7,-2
7,MAX,c7,1
8,MIN,b7,0
9,MAX,a7,2
10,MIN,a6,0
11,MAX,a5,1
12,MIN,b6,-1
13,MAX,c5,2
14,MIN,c6,2
15,MAX,b5,5
16,MIN,a4,3
17,MAX,b4,5
18,MIN,c4,4
19,MAX,b3,7
20,MIN,c3,5
21,MAX,b2,7
22,MIN,c2,3
23,MAX,d1,4
24,MIN,e1,1
25,MAX,f1,2
26,MIN,f2,1
27,MAX,e2,2
28,MIN,d3,-2
29,MAX,d4,895
30,MIN,e4,894
31,MAX,f3,895
32,MIN,g4,0
33,MAX,g3,896
34,MIN,f4,897
35,MAX,e3,898
36,MIN,d2,899
37,MAX,c1,998
38,MIN,b1,999
