ply number,player type,move,score
1,MAX,f5,
2,MIN,g6,-5
3,MAX,g5,-3
4,MIN,f6,-5
5,MAX,e6,-1
6,MIN,d7,-2
7,MAX,c7,1
8,MIN,c6,0
9,MAX,c5,3
10,MIN,b6,2
11,MAX,a6,4
12,MIN,a5,2
13,MAX,b5,5
14,MIN,a4,3
15,MAX,b4,5
16,MIN,c4,4
17,MAX,b3,7
18,MIN,c3,5
19,MAX,b2,7
20,MIN,c2,3
21,MAX,d1,4
22,MIN,e1,1
23,MAX,e2,2
24,MIN,d3,-2
25,MAX,d4,895
26,MIN,e4,894
27,MAX,f4,895
28,MIN,g4,894
29,MAX,f3,895
30,MIN,g3,894
31,MAX,g2,895
32,MIN,g1,895
33,MAX,f1,896
34,MIN,f2,897
35,MAX,e3,898
36,MIN,d2,899
37,MAX,c1,998
38,MIN,b1,999
