ply number,player type,move,score
1,MAX,d4,
2,MIN,c4,-1
3,MAX,b3,0
4,MIN,c2,-2
5,MAX,b1,0
6,MIN,c1,-2
7,MAX,b2,-1
8,MIN,c3,-4
9,MAX,d3,-3
10,MIN,e2,-5
11,MAX,f1,-4
12,MIN,g1,-6
13,MAX,g2,-4
14,MIN,g3,-6
15,MAX,f3,-5
16,MIN,e3,-6
17,MAX,f4,-2
18,MIN,g4,-4
19,MAX,g5,0
20,MIN,g6,-1
21,MAX,f5,0
22,MIN,e4,-2
23,MAX,d5,-1
24,MIN,c6,-895
25,MAX,b5,-895
26,MIN,b6,-897
27,MAX,a7,-896
28,MIN,a6,-898
29,MAX,a5,-898
30,MIN,a4,-899
31,MAX,a3,-899
32,MIN,b4,-992
33,MAX,c5,-993
34,MIN,d6,-994
35,MAX,d7,-995
36,MIN,e7,-996
37,MAX,e6,-997
38,MIN,f7,-998
39,MAX,f6,-999
