ply number,player type,move,score
1,MAX,f5,
2,MIN,g6,0
3,MAX,g5,2
4,MIN,f6,1
5,MAX,e6,3
6,MIN,d7,2
7,MAX,c7,5
8,MIN,b7,3
9,MAX,a6,5
10,MIN,a7,2
11,MAX,b6,6
12,MIN,c6,3
13,MAX,c5,6
14,MIN,b5,3
15,MAX,a4,5
16,MIN,a5,3
17,MAX,b4,6
18,MIN,a3,3
19,MAX,a2,5
20,MIN,b3,2
21,MAX,c3,3
22,MIN,d3,2
23,MAX,e3,4
24,MIN,f4,3
25,MAX,g4,7
26,MIN,g3,5
27,MAX,f2,898
28,MIN,g2,898
29,MAX,g1,899
30,MIN,f1,899
31,MAX,e1,992
32,MIN,e2,993
33,MAX,d2,994
34,MIN,d1,995
35,MAX,c2,996
36,MIN,c1,997
37,MAX,b2,998
38,MIN,b1,999
