ply number,player type,move,score
1,MAX,d4,
2,MIN,d3,-1
3,MAX,c2,0
4,MIN,b3,-2
5,MAX,a2,0
6,MIN,a3,-2
7,MAX,b2,-1
8,MIN,c3,-4
9,MAX,c4,-3
10,MIN,b4,-5
11,MAX,b5,-4
12,MIN,c6,-6
13,MAX,c5,-4
14,MIN,b6,-6
15,MAX,a6,-4
16,MIN,a7,-6
17,MAX,b7,-4
18,MIN,c7,-6
19,MAX,d6,-2
20,MIN,d7,-4
21,MAX,e7,0
22,MIN,f7,-1
23,MAX,e6,0
24,MIN,d5,-2
25,MAX,e4,-1
26,MIN,f3,-895
27,MAX,e2,-895
28,MIN,f2,-897
29,MAX,g1,-896
30,MIN,f1,-898
31,MAX,e1,-898
32,MIN,d1,-899
33,MAX,c1,-899
34,MIN,d2,-992
35,MAX,e3,-993
36,MIN,f4,-994
37,MAX,g4,-995
38,MIN,g5,-996
39,MAX,f5,-997
40,MIN,g6,-998
41,MAX,f6,-999
