ply number,player type,move,score
1,MAX,e4,
2,MIN,e3,0
3,MAX,d2,1
4,MIN,d3,-1
5,MAX,c4,2
6,MIN,b4,-2
7,MAX,b3,0
8,MIN,c2,-2
9,MAX,b2,0
10,MIN,c3,-2
11,MAX,d4,0
12,MIN,c5,-6
13,MAX,b6,-5
14,MIN,a7,-7
15,MAX,b7,-5
16,MIN,c7,-7
17,MAX,d7,-1
18,MIN,d6,-3
19,MAX,e7,1
20,MIN,f7,0
21,MAX,e6,2
22,MIN,f5,-894
23,MAX,f4,-895
24,MIN,f3,-896
25,MAX,g2,-897
26,MIN,g1,-898
27,MAX,f1,-899
28,MIN,e2,-992
29,MAX,d1,-993
30,MIN,e1,-994
31,MAX,f2,-995
32,MIN,g3,-996
33,MAX,g4,-997
34,MIN,g5,-998
35,MAX,g6,-999
