ply number,player type,move,score
1,MAX,d5,
2,MIN,c5,0
3,MAX,b4,1
4,MIN,c4,-1
5,MAX,d3,2
6,MIN,d2,-2
7,MAX,c2,0
8,MIN,b3,-2
9,MAX,b2,0
10,MIN,c3,-2
11,MAX,d4,0
12,MIN,e3,-6
13,MAX,f2,-5
14,MIN,g1,-7
15,MAX,g2,-5
16,MIN,g3,-7
17,MAX,g4,-1
18,MIN,f4,-3
19,MAX,g5,1
20,MIN,g6,0
21,MAX,f5,2
22,MIN,e6,-894
23,MAX,d6,-895
24,MIN,c6,-896
25,MAX,b7,-897
26,MIN,a7,-898
27,MAX,a6,-899
28,MIN,b5,-992
29,MAX,a4,-993
30,MIN,a5,-994
31,MAX,b6,-995
32,MIN,c7,-996
33,MAX,d7,-997
34,MIN,e7,-998
35,MAX,f6,-999
