ply number,player type,move,score
1,MAX,d4,
2,MIN,d3,-1
3,MAX,c2,0
4,MIN,c3,-2
5,MAX,b2,0
6,MIN,b3,-2
7,MAX,c4,-1
8,MIN,b4,-4
9,MAX,a5,-2
10,MIN,a6,-5
11,MAX,a7,-3
12,MIN,b7,-6
13,MAX,b6,-4
14,MIN,c7,-6
15,MAX,c6,-1
16,MIN,d7,-4
17,MAX,e7,-1
18,MIN,f7,-2
19,MAX,e6,1
20,MIN,d6,-1
21,MAX,d5,1
22,MIN,e4,-4
23,MAX,f3,-2
24,MIN,f4,-895
25,MAX,e3,-894
26,MIN,d2,-896
27,MAX,c1,-896
28,MIN,d1,-897
29,MAX,e1,-898
30,MIN,f2,-899
31,MAX,e2,-899
32,MIN,f1,-992
33,MAX,g1,-993
34,MIN,g2,-994
35,MAX,g3,-995
36,MIN,g4,-996
37,MAX,g5,-997
38,MIN,f5,-998
39,MAX,g6,-999
