Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
J vs A,167,185,143,105
J vs B,259,43,183,115
J vs C,124,97,149,230
J vs D,161,74,158,207
J vs E,245,126,160,69
J vs F,210,165,155,70
J vs G,226,42,239,93
J vs H,179,96,224,101
J vs I,230,71,226,73
J vs J,213,65,233,89
