Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
B vs A,203,102,186,109
B vs B,215,110,177,98
B vs C,186,190,66,158
B vs D,185,188,74,153
B vs E,131,176,214,79
B vs F,166,152,205,77
B vs G,152,65,248,135
B vs H,88,56,308,148
B vs I,113,40,294,153
B vs J,146,75,228,151
