Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
G vs A,146,213,134,107
G vs B,275,46,180,99
G vs C,136,137,176,151
G vs D,154,105,218,123
G vs E,231,148,171,50
G vs F,207,169,150,74
G vs G,260,40,235,65
G vs H,163,128,218,91
G vs I,228,76,223,73
G vs J,231,90,194,85
