Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
I vs A,221,108,152,119
I vs B,385,72,70,73
I vs C,206,273,71,50
I vs D,231,275,51,43
I vs E,171,273,122,34
I vs F,165,272,131,32
I vs G,189,37,294,80
I vs H,110,249,161,80
I vs I,168,169,170,93
I vs J,126,104,279,91
