Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
A vs A,174,181,183,62
A vs B,269,72,188,71
A vs C,210,144,180,66
A vs D,229,99,206,66
A vs E,247,246,71,36
A vs F,262,175,115,48
A vs G,216,34,270,80
A vs H,133,117,297,53
A vs I,156,103,311,30
A vs J,206,70,251,73
