Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
H vs A,231,94,152,123
H vs B,389,72,69,70
H vs C,228,245,68,59
H vs D,261,213,52,74
H vs E,141,275,141,43
H vs F,142,243,144,71
H vs G,189,36,280,95
H vs H,119,230,156,95
H vs I,171,157,180,92
H vs J,199,36,283,82
