Match-up,AI1 Goal,AI1 Trap,AI2 Goal,AI2 Trap
F vs A,228,122,135,115
F vs B,401,94,63,42
F vs C,264,261,36,39
F vs D,323,201,30,46
F vs E,161,294,99,46
F vs F,155,284,115,46
F vs G,211,68,226,95
F vs H,115,264,132,89
F vs I,191,177,160,72
F vs J,145,132,217,106
